nido;long;ancho;prof;soporte;alt;vis;temp rep;huevos;pichones;volantones;exinido
12;10;12;6;senbo;98;1;2018;0;0;0;0
16;12;12;8;schca;105;0,6;2018;1;0;0;0
17;12;10;7;schca;75;0,6;2018;0;0;0;0
18;12;10;7;solgl;75;0,6;2018;3;0;0;0
22;12;10;7;solgl;115;0;2018;3;2;2;1
23;11;12;9;solgl;120;0;2018;3;0;0;0
24;9;10;7,5;schca;86;0,2;2018;2;0;0;0
25;11;9;7;solpi;96;0,6;2018;3;3;2;1
26;10;12;8;solgl;83;0,6;2018;2;2;1;1
27;11;15;8;solgl;95;0,2;2018;3;0;0;0
30;12;12;6;solgl;65;1;2018;3;0;0;0
32;12;13;8;schca;80;0,4;2018;0;0;0;0
33;9;12;6;solgl;61;0,2;2018;3;0;0;0
34;10;13;7;pol;77;0,2;2018;0;0;0;0
35;11;11;5;solpi;80;0,2;2018;0;0;0;0
36;10;14;7;schca;88;0;2018;3;1;0;0
38;11;14;6;solgl;90;0,4;2018;2;1;1;1
40;12;13;5;schcasolgl;60;0,2;2018;0;0;0;0
41;12;9;6;solpi;77;0,6;2018;0;0;0;0
42;13;10;7;solglsolpi;78;0,6;2018;3;3;1;1
47;10;13;7;solglsolpi;45;0;2018;3;3;2;1
49;12;13;7;solgl;94;0,6;2018;3;3;2;1
50;9;10;5;solgl;72;0,4;2018;3;3;3;1
51;12;11;8;solgl;100;0;2018;0;0;0;0
53;15;11;9;solgl;81;0,6;2018;3;3;0;0
55;11;13;7;solgl;87;0,4;2018;3;3;2;1
56;19;17;10;solgl;100;0,4;2018;0;0;0;0
57;12;9;9;solgl;78;0,2;2018;0;0;0;0
58;10;11;9;solgl;70;0;2018;0;0;0;0
59;10;11;8;solgl;63;0,2;2018;2;0;0;0
60;12;10;6;solgl;132;0;2018;0;0;0;0
61;10;11;7;solgl;110;0,4;2018;3;2;1;1
63;11;12;8;solgl;78;0,8;2018;3;3;2;1
64;11;12;7;solgl;76;0,4;2018;3;2;2;1
65;11;10,5;9;solgl;70;0,2;2018;3;3;3;1
66;9;10,5;6;solgl;50;0,8;2018;3;0;0;0
68;13;10;9;solgl;38;0,8;2018;3;0;0;0
69;12,5;11;7;solgl;72;0,4;2018;3;3;1;1
70;11;10;9;solgl;78;0;2018;3;2;1;1
71;10,5;12;7;solglech;64;0,8;2018;3;3;2;1
72;13;11;10;solpi;43;0,2;2018;0;0;0;0
73;14;10;9,5;solgl;107;1;2018;3;0;0;0
74;17;12;10;solgl;130;0,8;2018;3;2;1;1
75;12;11;8;solgl;100;1;2018;1;0;0;0
76;11;10;9;solglech;59;0,8;2018;0;0;0;0
77;13;9;9;solgl;75;0,6;2018;0;0;0;0
78;10;11;8;solgl;57;0,4;2018;0;0;0;0
79;13;11;8;solgl;80;0,8;2018;4;3;1;1
81;11;12;7;solgl;90;0,2;2018;3;3;2;1
82;10;11;9;solgl;80;0,6;2018;0;0;0;0
84;10;9;7;solgl;90;0,4;2018;3;3;3;1
85;12;11;7;solgl;107;0,6;2018;3;3;2;1
86;16;10,5;13;solglech;85;0,6;2018;3;2;0;0
89;12;11;8;solglech;92;0,2;2018;3;0;0;0
90;11;11;9;solgl;94;0,8;2018;3;3;2;1
92;11;10;7,5;solgl;76;0,2;2018;1;0;0;0
93;12;10;9;solgl;71;1;2018;3;0;0;0
95;13;11;8;solgl;105;0,8;2018;0;0;0;0
94;10;11;7;solgl;68;0,8;2018;3;3;1;1
96;14;10;10;solgl;130;0,6;2018;2;2;1;1
98;10;11;7;solgl;68;0,8;2018;3;0;0;0
